pkAddress,addressStreet,addressTown,addressStreet2,addressHouseNumber,addressPoBox,addressZip,addressCountry,addressGeoDataLongitude,addressGeoDataLatitude,fkRegion,fkCountry
391,"Brunnenweg","Irsch",,"4",,"54451","Deutschland","6.588694","49.602221",,
394,"Emmentalstrasse","Oberburg",,"9",,"3414","Schweiz","7.625669","47.039987",,
395,"Ebnaterstrasse","Ebnat-Kappel",,"37",,"9642","Schweiz","9.125513","47.260895",,
396,"Oberneuhofstrasse","Baar",,"7",,"6340","Schweiz","8.517087","47.188981",,
397,"Meinbergstraße","Dortmund",,"69",,"44269","Deutschland","7.524940","51.489840",,
398,"via Mulinas","Schluein",,"50",,"7151","Schweiz","9.228183","46.787992",,
399,"Kaubendenstrasse","Aachen",,"9",,"52078","Deutschland","6.154267","50.767522",,
400,"Lückerather Weg","Bergisch Gladbach",,"49",,"51429","Deutschland","7.142585","50.970822",,
402,"Im Schoren","Gwatt",,"4",,"3645","Schweiz","7.619209","46.725608",,
405,"Edelbeurerstrasse","Gutenzell",,"22",,"88484","Deutschland","9.999133","48.111178",,
406,"Isikerstrasse","Hittnau",,"19",,"8335","Schweiz","8.819583","47.369516",,
407,"Mattenstrasse","Pfäffikon",,"10",,"8330","Schweiz","8.774658","47.369693",,
408,"Hauptstrasse","Holziken",,"9",,"5043","Schweiz","8.041663","47.319689",,
409,"Rebmoosweg","Brugg",,"68",,"5200","Schweiz","8.217720","47.492404",,
410,"Winsstraße","Berlin",,"14",,"10405","Deutschland","13.423318","52.534321",,
411,"Kirchgasse","Mittersill",,"18",,"5730","Österreich","12.483202","47.279488",,
412,"St. Gallerstrasse","Gossau",,"240",,"9200","Schweiz","9.271793","47.412845",,
413,"Industriestrasse","Wetzikon",,"9",,"8620","Schweiz","8.797568","47.334442",,
414,"Sindelfinger Str.","Tübingen",,"27/1",,"72070","Deutschland","9.031430","48.520050",,
415,"Dorfstrasse","Brütten",,"18",,"8311","Schweiz","8.674747","47.473262",,
416,"Sonnhaldenstrasse","Wallisellen",,"3",,"8304","Schweiz","8.596338","47.412269",,
417,"Dorfstraße","Wittstock/Dosse",,"18",,"16909","Deutschland","12.420508","53.243859",,
418,"Wehntalerstrasse","Zürich",,"639",,"8046","Schweiz","8.498175","47.422951",,
419,"Ferdinandstraße","Berlin",,"2",,"12209","Deutschland","13.328048","52.427508",,
420,"Bahnhofstraße","Miltach",,"19",,"93468","Deutschland","12.768600","49.162880",,
